title,description,location,features,date,price
1BHK Apartment for Sale in Builder EMI -  Wagholi,"1bhk flats with 2 wheeler reserved parking, CCTV camera, security guard, water, Lift,  flat cost 16 lack incl all exp e.g stamp duty, registration, adv charges, parking, MSEB charges. Ready Possession Easy 50 EMI option from builder per month 16,000/- only","India, Maharashtra, Pune, Wagholi",1 Bds - 1 Ba - 500 ft2,2021-05-02T10:06:41+0000,"₹ 15,00,586"
2bhk first floor available for sale,2bhk first floor available for sale  call us for more info 9417Q36266,"India, Punjab, Amritsar, Mirankot Rd",2 Bds - 2 Ba - 1050 ft2,2021-05-11T05:48:54+0000,"₹ 22,00,000"
711 sqft ready flat in railway station road,711 sqft ready flat in railway station road,"India, West Bengal, Kolkata, Madhyamgram",2 Bds - 2 Ba - 711 ft2,2021-06-01T03:41:05+0000,"₹ 16,35,000"
Villa for sale in Lal kaun to dadri road,Gated township fully developed area.near Lal kaun to dadri road Bijli pani ki suvidha ke shaath  Pmay 2.67 lac subsidy available Bank also available,"India, Uttar Pradesh, Greater Noida, Achheja",1 Bds - 1 Ba - 500 ft2,2021-06-01T03:21:51+0000,"₹ 20,00,000"
Very Good HouseThirumalaThachottukavu,3.500cent1700sq4bhk,"India, Kerala, Thiruvananthapuram, Thirumala",4 Bds - 4 Ba - 1600 ft2,2021-06-07T18:48:37+0000,"₹ 52,00,000"
Kahilipara duplex&Penthouses Reesel flat,"In Jatia Kahilipara, duplex and Penthouse flat near Jatia SBI Bank. There is a Open terrace of  700sqft  and  flat area of 1600sqft . In the 3rd floor, 2 bedrooms, 1 bathrooms, drawing and dining room, 1kitchen, 1 balconies are there. In the  4th floor, 1 bedroom, 1 bathroom, drawing room, and open terrace are there . 1 lift, 1 car parking.  GST and car parking is including.   24/7 electricity backup and   running water.  It  is a very good location. Genuine buyers please call me.","India, Assam, Guwahati, Kahilpara",3 Bds - 2 Ba - 2300 ft2,2021-06-01T03:19:13+0000,"₹ 80,00,000"
Single floor 40 villas vattiyoorkavu kavinpuram,Nihara homes  Price 35 lakhs  വട്ടിയൂർകാവ് ൽ നിന്നും പുളിയറകോണം വഴി കാവിൻപുറം ജംഗ്ഷനിൽ അടുത്തായി. പേയാട് നിന്നും കൊല്ലംകോണം വഴി 24 hour busroot ൽ നിന്നും. 500. Meeter മാത്രം ദൂരത്തിൽ 40 single floor villas ൽ പണി പൂർത്തിയായതും പണി നടക്കുന്നതുമായ ഇനിയും 34 villas വില്പനയ്ക്  4 cent ൽ 1050 sqft 3 bedroom attached washroom and cupbords 2 car വരെ പാർക്ചെയ്യുവാൻ സാധിക്കുന്ന 5 meeter tar road ഉള്ള villa project ആണ്.35 lakhs negotiable.90% loan available for eligible buyer. Booking available 33 lakhs onwards,"India, Kerala, Thiruvananthapuram, Puliyarakonam",3 Bds - 3 Ba - 1050 ft2,2021-06-01T03:38:57+0000,"₹ 35,00,000"
400 meeter from peyad junction near main road,Nihara homes  Price 59 lakhs  തിരുമലയിൽ നിന്നും 3.5 km മാറി പേയാട് junction ൽ നിന്ന് വെറും 500 meeter മാത്രം ദൂരത്തിൽ 4 cent ൽ 1550 sqft 3bedroom വളരെ മികച്ച രീതിയിൽ പണി കഴിപ്പിച്ച ഇരുനില veedu വില്പനയ്ക് പൂർണമായും വാസ്തു വിധിപ്രകാരം വീടിന്റെ നിർമാണം 90% loan available for eligible buyers.,"India, Kerala, Thiruvananthapuram, Thirumala",3 Bds - 3 Ba - 1550 ft2,2021-06-01T03:38:57+0000,"₹ 59,00,000"
Stylish budget friendly villa,Nihara homes  Price 45 lakhs  തിരുമലയിൽ നിന്നും 4.5 km മാറി തച്ചോട്ടുകാവിൽ നിന്നും അഭയ ഗ്രാമത്തിന് സമീപം 3.25 cent ൽ 1400 sqft 3bhk attached 1 car parking സൗകര്യം ഉള്ള പുതുതായി പണി കഴിപ്പിച്ച villa വില്പനക്ക്. വളരെ മനോഹരമായ elivation ൽ വളരെ branded fittings ഉപയോഗിച്ചാണ് പണി കഴിപ്പിച്ചിരിക്കുന്നത്. പൂർണമായും വാസ്തു വിധി പ്രകാരം ആണ് വീടിന്റെ നിർമാണം.90 % loan available for eligible buyers,"India, Kerala, Thiruvananthapuram, Thirumala",3 Bds - 3 Ba - 1400 ft2,2021-06-01T03:38:57+0000,"₹ 44,00,000"
24 hour bus root main road only 50 meeter,Nihara homes   Amound  60 lakhs(slightly negotiable)  Location  thirumala thachottukavu karipoor (near main road 50 meeter only)  Facing    North  Cent   3.5  Sqft     1750  Bedroom   3  Washroom   3  2 car parking facility  Very highly residential area  Bor Well and corporation water facility  Fully vasthu based plan   80% loan available for eligible   Amound  60 lakhs( with Roofing ;car porch and window curten),"India, Kerala, Thiruvananthapuram, Thirumala",3 Bds - 3 Ba - 1750 ft2,2021-06-01T03:16:34+0000,"₹ 55,00,000"
2BHK New Flat For Sale At Gated society In sector-127 Kharar Mohali,2BHK FULLY FURNISHED FLAT READY TO MOVE  on the road project in SEC- 127 just in 19.50 Lacs  2.67Lacs Cash subsidy benefit in just paying 21000/-FOR FLAT BOOKING  FEATURES *R.O *Chimney *Geyser *Fall ceiling with LED lighting  *LED panel with lighting *Green Park *45 feet link Road *AC fitting  *WALLPAPER   90% Loan facility 10% Down payment  *Direct connectivity to main chandigarh highway road & Airport road,"India, Punjab, Mohali, Sector 127",2 Bds - 2 Ba - 978 ft2,2021-06-04T03:24:34+0000,"₹ 19,50,000"
House for sale in vellaikadavu vattiyoorkavu,4 bhk semi furnished house Developed location 4.5 cent 1700 sqft Well furnished,"India, Kerala, Thiruvananthapuram, Vattiyoorkavu",4 Bds - 4 Ba - 1700 ft2,2021-06-04T03:31:43+0000,"₹ 62,00,000"
