title,url,instructors,objectives_summary,content_info,rating,num_reviews,price,list_price,discount_price,price_detail
Python Programming from Basics to Advanced,https://www.udemy.com/course/python-programming-from-basics-to-advanced/,https://www.udemy.com/Rahul Tiwari,Have a fundamental understanding of the Python programming language,60.5 total hours,4.592247,59,$69.99,$69.99,0,$69.99
Python for beginners - Learn all the basics of python,https://www.udemy.com/course/python-for-beginners-learn/,https://www.udemy.com/Kiran Gavali,Learn how to use Python 3 the right way,5 total hours,4.013728,962,$94.99,$94.99,0,$94.99
Complete Python Programming from scratch | Python Projects,https://www.udemy.com/course/complete-python-programming-from-scratch-to-advanced-with-projects/,https://www.udemy.com/Goeduhub Technologies,Understanding of the Python Programming Language,6 total hours,4.5108423,103,$24.99,$24.99,0,$24.99
The Python MicroDegree: From Basics To Building Python Apps,https://www.udemy.com/course/thepythonmicrodegree/,https://www.udemy.com/Abhishek Pughazh,The Basics of Modern Python 3.9 (Right from installation),7.5 total hours,4.459148,279,$94.99,$94.99,0,$94.99
Python Programming Bible: Hands-On Python 3 with 10 Projects,https://www.udemy.com/course/python-programming-bible-hands-on-python-3-with-10-projects/,https://www.udemy.com/<strong>Python</strong> Programming Academy,Complete Understanding of Python from Scratch,14 total hours,4.5535254,257,$94.99,$94.99,0,$94.99
The Ultimate Python Programming Tutorial ,https://www.udemy.com/course/the-ultimate-python-programming-course/,https://www.udemy.com/Infinite Skills,To teach real programming skills that transfer to real life development,6 total hours,4.0677776,1957,$49.99,$49.99,0,$49.99
Python Basics,https://www.udemy.com/course/python-for-penetration-testers/,https://www.udemy.com/Cristi Zot,The basics of Python for later use in penetration testing and cybersecurity.,2 total hours,4.222821,650,$69.99,$69.99,0,$69.99
Python for Beginners: Complete Python Programming,https://www.udemy.com/course/python-programming-course/,https://www.udemy.com/Phaninder - <strong>Python</strong> Programming,How to get up and running with Python,3 total hours,4.025979,708,$94.99,$94.99,0,$94.99
Python for Beginners: Complete Python Bootcamp & Masterclass,https://www.udemy.com/course/python-bootcamp-learn-python-programming/,https://www.udemy.com/Prof. Venkata L Raju Vatsavayi,Python programming fundamentals,16.5 total hours,4.8465004,95,$19.99,$19.99,0,$19.99
Python for Beginners,https://www.udemy.com/course/python-for-beginners-part-1-free/,https://www.udemy.com/Mohd Daneyal Hasan Lari,In this course students learn python from basic to advance.,19 total hours,4.8736506,12,$19.99,$19.99,0,$19.99
The Complete Python Programming Bootcamp,https://www.udemy.com/course/pythonbootcamp/,https://www.udemy.com/Avinash Jain,Gain a complete understanding of Python 3,9 total hours,4.5163403,543,$94.99,$94.99,0,$94.99
Python Tkinter Masterclass - Learn Python GUI Programming,https://www.udemy.com/course/python-tkinter-masterclass/,https://www.udemy.com/Tim Buchalka's Learn Programming Academy,The fundamentals of Python GUI programming.,13.5 total hours,4.2748265,526,$79.99,$79.99,0,$79.99
Learn Programming in Python With the Power of Animation,https://www.udemy.com/course/learn-programming-in-python-with-the-power-of-animation/,https://www.udemy.com/Miltiadis Saratzidis,You will be able to use Python as a programming language.,2 total hours,4.0875683,567,$94.99,$94.99,0,$94.99
Learn Python Programming From Scratch,https://www.udemy.com/course/learn-python-programming-from-scratch/,https://www.udemy.com/Eduonix Learning Solutions,Master Python Programming,6.5 total hours,4.696177,638,$29.99,$29.99,0,$29.99
Python on the Backend,https://www.udemy.com/course/python-on-the-back-end-for-beginners-http-server/,https://www.udemy.com/Hussein Nasser,Build cool web applications and APIs for other clients to consume,4 total hours,4.6504564,635,$79.99,$79.99,0,$79.99
Python - A Beginners guide towards Python Programming,https://www.udemy.com/course/pythonpro/,https://www.udemy.com/Vikas Kumar Jha,Python Intro and Frequently Asked Questions,4.5 total hours,4.2146425,720,$94.99,$94.99,0,$94.99
Python Tutorials - Python Crash Course for Beginnners,https://www.udemy.com/course/python-tutorials-python-crash-course-for-beginnners/,https://www.udemy.com/Indian Innovation,Learn Python Online and Get Certified. This Course Covers all the Basic and Core Knowledge Required for Python Programmers.,3.5 total hours,4.8088207,29,$19.99,$19.99,0,$19.99
Learn Complete Python-3 GUI using Tkinter,https://www.udemy.com/course/learn-complete-python-3-gui-using-tkinter/,https://www.udemy.com/Lernen Hub Academy,The fundamentals of Python GUI programming.,8.5 total hours,4.022758,233,$89.99,$89.99,0,$89.99
Python Coding for Kids,https://www.udemy.com/course/coding-for-kids-mod-one/,https://www.udemy.com/Shaer Education Ltd,Python coding,1.5 total hours,4.3678975,160,$19.99,$19.99,0,$19.99
Data Analytics A-Z with Python,https://www.udemy.com/course/dataanalyticsa-zwithpython/,https://www.udemy.com/Yaswanth Sai Palaghat,Data Analytics,4 total hours,4.017714,355,$49.99,$49.99,0,$49.99
Python and Jupyter Notebooks for beginners,https://www.udemy.com/course/python-and-jupyter-notebooks-for-beginners/,https://www.udemy.com/Bluelime Learning Solutions,How to install Jupyter Notebook,2.5 total hours,4.4215536,122,$79.99,$79.99,0,$79.99
Computer Vision In Python! Face Detection & Image Processing,https://www.udemy.com/course/computer-vision-in-python-face-detection-image-processing/,https://www.udemy.com/Emenwa Global,Use OpenCV to work with image files,11 total hours,4.369377,104,$19.99,$19.99,0,$19.99
Mastering Python - Networking and Security,https://www.udemy.com/course/mastering-python-networking-and-security/,https://www.udemy.com/Infinite Skills,"create, run, and debug Python scripts and apply that knowledge to handling common networking and forensics tasks",5 total hours,4.3891573,641,$49.99,$49.99,0,$49.99
Complete Python : For Absolute Beginners,https://www.udemy.com/course/python-for-beginners-be-professional-learn-from-basics/,https://www.udemy.com/Pankaj Brahmankar,Obtain a strong understanding on the fundamentals of programming,7 total hours,4.477384,11,$19.99,$19.99,0,$19.99
Python 2021 - Mastering Object Oriented Programming,https://www.udemy.com/course/python-2021-mastering-object-oriented-programming/,https://www.udemy.com/Candas Bilgin,Python Programming Language.,9 total hours,4.8747935,8,$89.99,$89.99,0,$89.99
Complete Python Course Beginners To Expert.,https://www.udemy.com/course/complete-python-course-beginners-to-expert/,https://www.udemy.com/Ghanshyam Kushwah,create your own python application,2 total hours,4.0988975,17,Free,Free,0,0
Python Programming Mastery,https://www.udemy.com/course/python-programming-mastery/,https://www.udemy.com/Ganesh Attarde,Basic Python Language Programming Concepts,9 total hours,4.5325894,34,$74.99,$74.99,0,$74.99
Python Complete Course For Beginners,https://www.udemy.com/course/python-complete-course-for-beginners-h/,https://www.udemy.com/Horizon Tech,"Getting Started,Variables,Values and Data Types, Operators and Operands, Function Calls",5.5 total hours,4.222105,476,$74.99,$74.99,0,$74.99
Python and Excel Programming With OpenPyXL,https://www.udemy.com/course/python-and-excel-programming-using-openpyxl/,https://www.udemy.com/John Elder,Learn How To Use Python and Excel together with OpenPyXL,1.5 total hours,4.298882,170,$89.99,$89.99,0,$89.99
Python for Everybody: The Ultimate Python 3 Bootcamp,https://www.udemy.com/course/python-for-everybody-the-ultimate-modern-python-bootcamp/,https://www.udemy.com/Kalob Taulien,Learn to use Python 3 professionally (Python 2 is no longer a supporter programming language),9.5 total hours,4.5786824,68,$89.99,$89.99,0,$89.99
Python GUI Programming using Tkinter and Python 3,https://www.udemy.com/course/python-gui-programming-using-tkinter-and-python-3/,https://www.udemy.com/Attreya Bhatt,Skills to build amazing Python GUI applications using Tkinter,2.5 total hours,4.353506,276,$24.99,$24.99,0,$24.99
Python for Geospatial,https://www.udemy.com/course/pyspatial/,https://www.udemy.com/Arthur Lembo,Write basic Python scripts to automate data,2 total hours,4.196599,340,$49.99,$49.99,0,$49.99
Python Automation for Everyone,https://www.udemy.com/course/learn-python-from-scratch-python-3/,https://www.udemy.com/TechSckool By Vijay,"Full of hands-on instructions, interesting and illustrative examples, clear explanations",4.5 total hours,4.097943,94,$19.99,$19.99,0,$19.99
Python for Beginners,https://www.udemy.com/course/python-for-beginners-2021-r/,https://www.udemy.com/Venkata Sai Mahesh Pothuguntla,This course is made for learning Python Programming. We made our course in two modules. In this module you will learn following:,4 total hours,4.1112437,55,$24.99,$24.99,0,$24.99
2021 Complete Python Bootcamp From Zero to Hero in Python,https://www.udemy.com/course/python-programming-for-beginners-m/,https://www.udemy.com/Surendra Varma,Python programming skills,9.5 total hours,4.2368736,18,$89.99,$89.99,0,$89.99
Fundamentals of Programming using Python 3,https://www.udemy.com/course/fundamentals-of-programming-using-python-3/,https://www.udemy.com/Durga Viswanatha Raju Gadiraju,Overview of GCP and Setup Ubuntu VM,10 total hours,4.571909,408,$89.99,$89.99,0,$89.99
Python Programming,https://www.udemy.com/course/python-programming-learnkarts/,https://www.udemy.com/Learnkart Technology Pvt Ltd,"This course is a great way to start your Python Journey. Through our lesson end quizzes,course end assessment,demos and self paced videos you will be able to understand how to write codes in Python and our course end project will make you job ready as well.",4 total hours,4.5479937,7,$94.99,$94.99,0,$94.99
Python OOP Course: Master Object-Oriented Programming,https://www.udemy.com/course/python-oop-course/,https://www.udemy.com/Karim Elghamrawy,"Write clean code that is reusable, modular, and readable",5.5 total hours,4.6512303,25,$49.99,$49.99,0,$49.99
Web Programming with Python,https://www.udemy.com/course/web-programming-with-python/,https://www.udemy.com/Infinite Skills,No Objective Summary Available,4 total hours,4.1143856,416,$49.99,$49.99,0,$49.99
Python GUI Programming,https://www.udemy.com/course/python-gui-programming-using-tkinter-module-for-beginners/,https://www.udemy.com/DoEdu IT Educations,Bag strong basic fundamentals required to create great GUI,2.5 total hours,4.1251025,191,$19.99,$19.99,0,$19.99
Intermediate Python Immersive Training | Boost your career,https://www.udemy.com/course/the-intermediate-python-training-boost-your-python-skills/,https://www.udemy.com/Ahmed Ibrahim,Building Iterators,2.5 total hours,4.309864,130,$94.99,$94.99,0,$94.99
The Complete Python Bootcamp Programming Course,https://www.udemy.com/course/a-complete-python-tutorial/,https://www.udemy.com/Niraj Gupta,Python Programming,5 total hours,5.0,4,$19.99,$19.99,0,$19.99
Python for Beginners: Easily Learn Python Programming,https://www.udemy.com/course/python-for-beginners-easily-learn-python-programming/,https://www.udemy.com/Steven Martin,Program fluently in Python,5.5 total hours,4.5618415,46,$19.99,$19.99,0,$19.99
Learn Advanced Level Programming in Python,https://www.udemy.com/course/learn-advanced-level-programming-in-python/,https://www.udemy.com/Team <strong>Python</strong>,Advanced Level Programming in Python,22 total hours,4.497803,43,$94.99,$94.99,0,$94.99
Python : Start the Magic with Python,https://www.udemy.com/course/python-start-the-magic-with-python/,https://www.udemy.com/Vijay Kumar Yadav,Writing Python in VS Code,62 questions,4.12594,49,$44.99,$44.99,0,$44.99
100 Python Challenges,https://www.udemy.com/course/100-python-challenges/,https://www.udemy.com/Ajay Tech,Get Challenged with simple logical challenges and learn Python by solving them in Python online,31 total mins,4.459134,25,$19.99,$19.99,0,$19.99
Python And Flask Framework Complete Course,https://www.udemy.com/course/flask-framework-complete-course-for-beginners/,https://www.udemy.com/Horizon Tech,Write Python scripts for general productivity tasks Read and comprehend Python code Gain knowledge in regard to general programming concepts,12 total hours,4.108361,358,$94.99,$94.99,0,$94.99
Complete Python Programming Fundamentals And Sample Projects,https://www.udemy.com/course/complete-python-programming-fundamentals-and-sample-projects/,https://www.udemy.com/Emenwa Global,Master the fundamentals of Python programming from basics to professional,7 total hours,4.098593,123,$19.99,$19.99,0,$19.99
Basic Python Quiz,https://www.udemy.com/course/basic-python-quiz/,https://www.udemy.com/Aman kazi,Python,28 questions,4.309524,254,$19.99,$19.99,0,$19.99
"Python,Flask Framework And Django Course For Beginners",https://www.udemy.com/course/python-and-flask-and-django-course-for-beginners/,https://www.udemy.com/Horizon Tech,"Python Programming Beginner To Advanced, Flask Framework And Django Framework With Building Project",18.5 total hours,4.3435826,414,$94.99,$94.99,0,$94.99
